store,timeformatted,in,out
RAV_DEMO,2019-10-02 07:00:00,161,292
RAV_DEMO,2019-10-02 08:00:00,108,128
RAV_DEMO,2019-10-02 09:00:00,158,189
RAV_DEMO,2019-10-02 10:00:00,191,248
RAV_DEMO,2019-10-02 11:00:00,135,195
RAV_DEMO,2019-10-02 12:00:00,221,221
RAV_DEMO,2019-10-02 13:00:00,200,226
RAV_DEMO,2019-10-02 14:00:00,193,258
RAV_DEMO,2019-10-02 15:00:00,387,422
RAV_DEMO,2019-10-02 16:00:00,136,180
RAV_DEMO,2019-10-02 17:00:00,81,110
RAV_DEMO,2019-10-02 18:00:00,197,277
RAV_DEMO,2019-10-02 19:00:00,230,349
RAV_DEMO,2019-10-02 20:00:00,14,11
RAV_DEMO,2019-10-03 07:00:00,175,290
RAV_DEMO,2019-10-03 08:00:00,68,118
RAV_DEMO,2019-10-03 09:00:00,67,131
RAV_DEMO,2019-10-03 10:00:00,91,266
RAV_DEMO,2019-10-03 11:00:00,286,325
RAV_DEMO,2019-10-03 12:00:00,384,340
RAV_DEMO,2019-10-03 13:00:00,131,106
RAV_DEMO,2019-10-03 14:00:00,18,22
RAV_DEMO,2019-10-03 15:00:00,27,33
RAV_DEMO,2019-10-03 16:00:00,7,13
RAV_DEMO,2019-10-03 17:00:00,12,27
RAV_DEMO,2019-10-03 18:00:00,236,382
RAV_DEMO,2019-10-03 19:00:00,19,9
RAV_DEMO,2019-10-03 20:00:00,39,42
RAV_DEMO,2019-10-04 07:00:00,18,15
RAV_DEMO,2019-10-04 08:00:00,497,814
RAV_DEMO,2019-10-04 09:00:00,62,97
RAV_DEMO,2019-10-04 10:00:00,35,53
RAV_DEMO,2019-10-04 11:00:00,13,18
RAV_DEMO,2019-10-04 12:00:00,58,75
RAV_DEMO,2019-10-04 13:00:00,144,176
RAV_DEMO,2019-10-04 14:00:00,52,73
RAV_DEMO,2019-10-04 15:00:00,11,19
RAV_DEMO,2019-10-04 16:00:00,10,11
RAV_DEMO,2019-10-04 17:00:00,99,154
RAV_DEMO,2019-10-04 18:00:00,164,249
RAV_DEMO,2019-10-04 19:00:00,17,8
RAV_DEMO,2019-10-04 20:00:00,35,43
RAV_DEMO,2019-10-05 07:00:00,314,552
RAV_DEMO,2019-10-05 08:00:00,4,6
RAV_DEMO,2019-10-05 09:00:00,5,7
RAV_DEMO,2019-10-05 10:00:00,35,63
RAV_DEMO,2019-10-05 11:00:00,106,156
RAV_DEMO,2019-10-05 12:00:00,215,210
RAV_DEMO,2019-10-05 13:00:00,113,155
RAV_DEMO,2019-10-05 14:00:00,203,276
RAV_DEMO,2019-10-05 15:00:00,150,281
RAV_DEMO,2019-10-05 16:00:00,125,165
RAV_DEMO,2019-10-05 17:00:00,47,92
RAV_DEMO,2019-10-05 18:00:00,239,376
RAV_DEMO,2019-10-06 07:00:00,190,299
RAV_DEMO,2019-10-06 08:00:00,150,246
RAV_DEMO,2019-10-06 09:00:00,23,27
RAV_DEMO,2019-10-06 10:00:00,169,205
RAV_DEMO,2019-10-06 11:00:00,155,180
RAV_DEMO,2019-10-06 12:00:00,40,115
RAV_DEMO,2019-10-06 13:00:00,37,126
RAV_DEMO,2019-10-06 14:00:00,45,157
RAV_DEMO,2019-10-06 15:00:00,62,137
RAV_DEMO,2019-10-06 16:00:00,35,84
RAV_DEMO,2019-10-06 17:00:00,426,693
RAV_DEMO,2019-10-06 18:00:00,415,647
RAV_DEMO,2019-10-06 20:00:00,8,8
RAV_DEMO,2019-10-07 07:00:00,54,90
RAV_DEMO,2019-10-07 08:00:00,418,687
RAV_DEMO,2019-10-07 09:00:00,1,1
RAV_DEMO,2019-10-07 10:00:00,5,4
RAV_DEMO,2019-10-07 11:00:00,210,290
RAV_DEMO,2019-10-07 12:00:00,307,529
RAV_DEMO,2019-10-07 13:00:00,63,158
RAV_DEMO,2019-10-07 14:00:00,251,258
RAV_DEMO,2019-10-07 15:00:00,357,459
RAV_DEMO,2019-10-07 16:00:00,97,383
RAV_DEMO,2019-10-07 17:00:00,13,26
RAV_DEMO,2019-10-07 18:00:00,95,142
RAV_DEMO,2019-10-07 19:00:00,21,29
RAV_DEMO,2019-10-07 20:00:00,10,5
RAV_DEMO,2019-10-08 07:00:00,210,366
RAV_DEMO,2019-10-08 08:00:00,7,9
RAV_DEMO,2019-10-08 09:00:00,76,121
RAV_DEMO,2019-10-08 10:00:00,126,268
RAV_DEMO,2019-10-08 11:00:00,17,172
RAV_DEMO,2019-10-08 12:00:00,16,45
RAV_DEMO,2019-10-08 13:00:00,1,48
RAV_DEMO,2019-10-08 14:00:00,1,2
RAV_DEMO,2019-10-08 15:00:00,16,163
RAV_DEMO,2019-10-08 16:00:00,11,145
RAV_DEMO,2019-10-08 17:00:00,0,8
RAV_DEMO,2019-10-08 18:00:00,58,77
RAV_DEMO,2019-10-08 19:00:00,67,46
RAV_DEMO,2019-10-08 20:00:00,91,76
RAV_DEMO,2019-10-09 07:00:00,147,243
RAV_DEMO,2019-10-09 08:00:00,0,1
RAV_DEMO,2019-10-09 09:00:00,0,0
RAV_DEMO,2019-10-09 10:00:00,2,1
RAV_DEMO,2019-10-09 11:00:00,5,7
RAV_DEMO,2019-10-09 12:00:00,0,0
RAV_DEMO,2019-10-09 13:00:00,0,0
RAV_DEMO,2019-10-09 14:00:00,0,0
RAV_DEMO,2019-10-09 15:00:00,19,102
RAV_DEMO,2019-10-09 16:00:00,25,173
RAV_DEMO,2019-10-09 17:00:00,5,23
RAV_DEMO,2019-10-09 18:00:00,146,240
RAV_DEMO,2019-10-09 19:00:00,36,17
RAV_DEMO,2019-10-09 20:00:00,36,46
RAV_DEMO,2019-10-10 07:00:00,286,444
RAV_DEMO,2019-10-10 08:00:00,0,0
