store,timeformatted,in,out
RAV_DEMO,2019-10-04 07:00:00,18,15
RAV_DEMO,2019-10-04 08:00:00,497,814
RAV_DEMO,2019-10-04 09:00:00,62,97
RAV_DEMO,2019-10-04 10:00:00,35,53
RAV_DEMO,2019-10-04 11:00:00,13,18
RAV_DEMO,2019-10-04 12:00:00,58,75
RAV_DEMO,2019-10-04 13:00:00,144,176
RAV_DEMO,2019-10-04 14:00:00,52,73
RAV_DEMO,2019-10-04 15:00:00,11,19
RAV_DEMO,2019-10-04 16:00:00,10,11
RAV_DEMO,2019-10-04 17:00:00,99,154
RAV_DEMO,2019-10-04 18:00:00,164,249
RAV_DEMO,2019-10-04 19:00:00,17,8
RAV_DEMO,2019-10-04 20:00:00,35,43
